state,median_income,population,unemployment_rate
Alabama,66659,5157699.0,3.44
Alaska,95665,740133.0,5.99
Arizona,81486,7582384.0,4.94
Arkansas,62106,3088354.0,4.04
California,100149,39431263.0,6.14
Colorado,97113,5957493.0,4.13
Connecticut,96049,3675069.0,3.27
Delaware,87534,1051917.0,4.0
Florida,77735,23372215.0,3.75
Georgia,79991,11180878.0,3.68
Hawaii,100745,1446146.0,3.0
Idaho,81166,2001619.0,4.0
Illinois,83211,12710158.0,4.64
Indiana,71959,6924275.0,3.93
Iowa,75501,3241488.0,3.03
Kansas,75514,2970606.0,3.4
Kentucky,64526,4588372.0,5.39
Louisiana,60986,4597740.0,4.9
Maine,76442,1405012.0,3.42
Maryland,102905,6263220.0,3.35
Massachusetts,104828,7136171.0,4.29
Michigan,72389,10140459.0,5.73
Minnesota,87117,5793151.0,3.57
Mississippi,59127,2943045.0,3.73
Missouri,71589,6245466.0,4.0
Montana,75340,1137233.0,3.14
Nebraska,76376,2005465.0,2.64
Nevada,81134,3267467.0,5.49
New Hampshire,99782,1409032.0,2.46
New Jersey,104294,9500851.0,4.93
New Mexico,67816,2130256.0,4.54
New York,85820,19867248.0,3.83
North Carolina,73958,11046024.0,3.82
North Dakota,77871,796568.0,2.71
Ohio,72212,11883304.0,4.61
Oklahoma,66148,4095393.0,3.32
Oregon,85220,4272371.0,4.63
Pennsylvania,77545,13078751.0,4.01
Rhode Island,83504,1112308.0,3.86
South Carolina,72350,5478831.0,4.7
South Dakota,76881,924669.0,2.13
Tennessee,71997,7227750.0,3.71
Texas,79721,31290831.0,4.08
Utah,96658,3503613.0,3.67
Vermont,82730,648493.0,2.52
Virginia,92090,8811195.0,3.28
Washington,99389,7958180.0,4.99
West Virginia,60798,1769979.0,4.66
Wisconsin,77488,5960975.0,3.27
Wyoming,75532,587618.0,3.12
